date,year,month,month_name,quarter,fy_year,fy_label
2023-08-01,2023,8,Aug,3,2023,FY23/24
2023-09-01,2023,9,Sep,3,2023,FY23/24
2023-10-01,2023,10,Oct,4,2023,FY23/24
2023-11-01,2023,11,Nov,4,2023,FY23/24
2023-12-01,2023,12,Dec,4,2023,FY23/24
2024-01-01,2024,1,Jan,1,2023,FY23/24
2024-02-01,2024,2,Feb,1,2023,FY23/24
2024-03-01,2024,3,Mar,1,2023,FY23/24
2024-04-01,2024,4,Apr,2,2023,FY23/24
2024-05-01,2024,5,May,2,2023,FY23/24
2024-06-01,2024,6,Jun,2,2023,FY23/24
2024-07-01,2024,7,Jul,3,2024,FY24/25
2024-08-01,2024,8,Aug,3,2024,FY24/25
2024-09-01,2024,9,Sep,3,2024,FY24/25
2024-10-01,2024,10,Oct,4,2024,FY24/25
2024-11-01,2024,11,Nov,4,2024,FY24/25
2024-12-01,2024,12,Dec,4,2024,FY24/25
2025-01-01,2025,1,Jan,1,2024,FY24/25
2025-02-01,2025,2,Feb,1,2024,FY24/25
2025-03-01,2025,3,Mar,1,2024,FY24/25
2025-04-01,2025,4,Apr,2,2024,FY24/25
